FECHA,CLAVE_EST,PARAMETRO,PROMEDIO
01/01/1996,AGU,CO,0.7458
01/01/1996,ATM,CO,1.9875
01/01/1996,CEN,CO,1.2833
01/01/1996,LDO,CO,1.7
01/01/1996,MIR,CO,0.6167
01/01/1996,OBL,CO,1.7583
01/01/1996,TLA,CO,2.3917
01/01/1996,VAL,CO,0.7458
02/01/1996,AGU,CO,1.4667
02/01/1996,ATM,CO,1.2833
02/01/1996,CEN,CO,1.3458
02/01/1996,LDO,CO,1.6375
02/01/1996,MIR,CO,0.9875
02/01/1996,OBL,CO,1.3375
02/01/1996,TLA,CO,2.5583
02/01/1996,VAL,CO,0.6542
03/01/1996,AGU,CO,2.6042
03/01/1996,ATM,CO,5.2542
03/01/1996,CEN,CO,2.8875
03/01/1996,LDO,CO,3.7625
03/01/1996,MIR,CO,2.8625
03/01/1996,OBL,CO,2.3625
03/01/1996,TLA,CO,4.9167
03/01/1996,VAL,CO,3.4542
04/01/1996,AGU,CO,2.825
04/01/1996,ATM,CO,5.9917
04/01/1996,CEN,CO,5.7208
04/01/1996,LDO,CO,2.6833
04/01/1996,MIR,CO,2.4792
04/01/1996,OBL,CO,4.0458
04/01/1996,TLA,CO,5.2333
04/01/1996,VAL,CO,2.6833
05/01/1996,AGU,CO,3.0333
05/01/1996,ATM,CO,5.5375
05/01/1996,CEN,CO,6.7708
05/01/1996,LDO,CO,1.8292
05/01/1996,MIR,CO,2.475
05/01/1996,OBL,CO,3.8167
05/01/1996,TLA,CO,5.1292
05/01/1996,VAL,CO,4.3458
06/01/1996,AGU,CO,3.0708
06/01/1996,ATM,CO,5.025
06/01/1996,CEN,CO,9.7667
06/01/1996,LDO,CO,0
06/01/1996,MIR,CO,3.2333
06/01/1996,OBL,CO,4.2958
06/01/1996,TLA,CO,8.425
06/01/1996,VAL,CO,4.7292
07/01/1996,AGU,CO,2.5042
07/01/1996,ATM,CO,5.0917
07/01/1996,CEN,CO,7.05
07/01/1996,LDO,CO,0
07/01/1996,MIR,CO,3.475
07/01/1996,OBL,CO,4.0583
07/01/1996,TLA,CO,7.4167
07/01/1996,VAL,CO,3.8125
08/01/1996,AGU,CO,3.1792
08/01/1996,ATM,CO,7.6792
08/01/1996,CEN,CO,4.8125
08/01/1996,LDO,CO,-0.1375
08/01/1996,MIR,CO,2.0583
08/01/1996,OBL,CO,3.2042
08/01/1996,TLA,CO,3.9625
08/01/1996,VAL,CO,5.0042
09/01/1996,AGU,CO,3.2833
09/01/1996,ATM,CO,6.1042
09/01/1996,CEN,CO,7.2292
09/01/1996,LDO,CO,0.9917
09/01/1996,MIR,CO,3.4333
09/01/1996,OBL,CO,4.975
09/01/1996,TLA,CO,5.9042
09/01/1996,VAL,CO,5.6333
10/01/1996,AGU,CO,2.9083
10/01/1996,ATM,CO,5.0458
10/01/1996,CEN,CO,6.4958
10/01/1996,LDO,CO,2.1542
10/01/1996,MIR,CO,2.9
10/01/1996,OBL,CO,3.475
10/01/1996,TLA,CO,6.0583
10/01/1996,VAL,CO,4.575
11/01/1996,AGU,CO,2.4375
11/01/1996,ATM,CO,5.4583
11/01/1996,CEN,CO,6.4583
11/01/1996,LDO,CO,2.7792
11/01/1996,MIR,CO,2.75
11/01/1996,OBL,CO,2.5125
11/01/1996,TLA,CO,5.9208
11/01/1996,VAL,CO,3.2958
12/01/1996,AGU,CO,3.3
12/01/1996,ATM,CO,2.6792
12/01/1996,CEN,CO,2.6333
12/01/1996,LDO,CO,1.1667
12/01/1996,MIR,CO,1.6083
12/01/1996,OBL,CO,1.1542
12/01/1996,TLA,CO,3.2333
12/01/1996,VAL,CO,3.1083
13/01/1996,AGU,CO,2.1542
13/01/1996,ATM,CO,4.3792
13/01/1996,CEN,CO,3.9958
13/01/1996,LDO,CO,2.0542
13/01/1996,MIR,CO,2.7417
13/01/1996,OBL,CO,3.8583
13/01/1996,TLA,CO,5.4375
13/01/1996,VAL,CO,3.4708
14/01/1996,AGU,CO,1.6083
14/01/1996,ATM,CO,4.2417
14/01/1996,CEN,CO,5.3333
14/01/1996,LDO,CO,2.3958
14/01/1996,MIR,CO,2.7125
14/01/1996,OBL,CO,1.6417
14/01/1996,TLA,CO,7.225
14/01/1996,VAL,CO,4.05
15/01/1996,AGU,CO,2.6792
