FECHA,CLAVE_EST,PARAMETRO,INVALIDA,HORA01,HORA02,HORA03,HORA04,HORA05,HORA06,HORA07,HORA08,HORA09,HORA10,HORA11,HORA12,HORA13,HORA14,HORA15,HORA16,HORA17,HORA18,HORA19,HORA20,HORA21,HORA22,HORA23,HORA24
31/12/10,AGU,CO,,0.6,0.8,0.4,0.6,0.6,0.8,1.7,2.3,3.6,2.9,1.5,1.4,0.8,0.3,0.3,0.3,0.3,0.3,0.4,0.9,2.1,3.1,2.3,2.0
31/12/10,AGU,NO,,0.002,0.012,0.001,0.012,0.005,0.015,0.090,0.085,0.271,0.188,0.058,0.056,0.031,0.003,0.004,0.004,0.004,0.003,0.006,0.020,0.054,0.130,0.052,0.018
31/12/10,AGU,NO2,,0.020,0.032,0.020,0.024,0.025,0.032,0.038,0.039,0.041,0.051,0.038,0.033,0.024,0.007,0.008,0.006,0.009,0.011,0.026,0.042,0.048,0.046,0.051,0.050
31/12/10,AGU,NOX,,0.027,0.046,0.025,0.039,0.034,0.048,0.121,0.118,0.287,0.221,0.093,0.087,0.056,0.016,0.017,0.016,0.018,0.019,0.036,0.063,0.098,0.165,0.099,0.068
31/12/10,AGU,O3,,0.031,0.016,0.028,0.024,0.017,0.013,0.004,0.004,0.005,0.008,0.022,0.029,0.048,0.060,0.063,0.060,0.055,0.054,0.035,0.013,0.005,0.006,0.007,0.010
31/12/10,AGU,PM10,,9.8,10.1,5.1,7.4,3.5,7.2,10.2,17.3,44.8,43.1,31.3,21.9,15.1,64.6,44.0,27.2,18.6,20.3,26.5,32.5,42.3,48.5,57.5,52.8
31/12/10,AGU,SO2,,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.008,0.009,0.005,0.003,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.004,0.003,0.002
31/12/10,ATM,CO,,"0,1","0,1","0,1","0,1","0,1","0,1","0,1",0.5,1.4,1.8,0.6,"0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1",0.5,1.2,3.3,5.8,4.8
31/12/10,ATM,NO,,0.038,0.026,0.037,0.036,0.047,0.032,0.068,0.143,0.195,0.133,0.059,0.021,0.016,0.010,0.008,0.008,0.006,0.007,0.023,0.061,0.085,0.221,0.282,0.218
31/12/10,ATM,NO2,,0.033,0.032,0.030,0.028,0.026,0.027,0.027,0.029,0.039,0.053,0.043,0.031,0.025,0.019,0.013,0.012,0.011,0.013,0.025,0.039,0.039,0.043,0.045,0.043
31/12/10,ATM,NOX,,0.071,0.058,0.068,0.065,0.074,0.059,0.097,0.172,0.235,0.187,0.103,0.052,0.042,0.029,0.021,0.020,0.019,0.020,0.048,0.101,0.125,0.263,0.327,0.260
31/12/10,ATM,O3,,0.001,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.001,0.002,0.019,0.037,0.046,0.055,0.053,0.053,0.047,0.041,0.027,0.001,0.001,0.001,0.003,0.003
31/12/10,ATM,PM10,,13.4,13.4,7.5,9.6,9.6,12.2,14.6,21.7,32.0,33.4,19.8,10.7,4.8,5.1,8.4,37.8,55.2,32.2,28.2,29.9,25.9,52.0,72.9,71.7
31/12/10,ATM,SO2,,0.003,0.003,0.003,0.003,0.003,0.007,0.006,0.010,0.009,0.007,0.006,0.003,0.003,0.002,0.001,0.001,0.001,0.001,0.002,0.004,0.004,0.009,0.014,0.014
31/12/10,CEN,CO,,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.
31/12/10,CEN,NO,,0.040,0.046,0.067,0.079,0.071,0.137,0.220,0.316,0.234,0.219,0.031,0.018,0.019,0.014,0.011,0.012,0.014,0.014,0.017,0.061,0.092,0.257,0.351,0.508
31/12/10,CEN,NO2,,0.045,0.041,0.042,0.039,0.037,0.035,0.042,0.039,0.045,0.062,0.036,0.033,0.035,0.025,0.021,0.021,0.023,0.026,0.039,0.047,0.044,0.045,0.046,0.050
31/12/10,CEN,NOX,,0.076,0.080,0.101,0.110,0.102,0.165,0.257,0.350,0.275,0.281,0.055,0.042,0.045,0.030,0.023,0.024,0.028,0.031,0.046,0.101,0.130,0.298,0.391,0.533
31/12/10,CEN,O3,,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.012,0.029,0.036,0.044,0.042,0.040,0.032,0.027,0.013,0.002,0.002,0.002,0.002,0.002
31/12/10,CEN,PM10,,45.6,34.1,35.1,49.6,49.8,60.8,77.7,108.4,120.4,126.9,70.2,62.1,39.8,30.6,44.2,27.8,22.3,12.5,264.0,231.0,113.8,238.4,351.2,496.2
31/12/10,CEN,SO2,,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.
31/12/10,LDO,CO,,1.9,1.9,1.9,1.3,2.0,1.9,2.9,4.6,3.6,2.7,2.5,2.0,2.0,1.6,1.4,1.7,1.6,2.1,2.6,3.5,4.3,3.7,5.3,4.5
31/12/10,LDO,NO,,0.041,0.031,0.033,0.034,0.038,0.042,0.138,0.247,0.123,0.048,0.038,0.030,0.029,0.033,0.031,0.032,0.032,0.035,0.036,0.082,0.118,0.088,0.175,0.119
31/12/10,LDO,NO2,,0.028,0.025,0.026,0.022,0.024,0.026,0.029,0.031,0.030,0.025,0.019,0.013,0.011,0.017,0.013,0.013,0.014,0.022,0.028,0.038,0.036,0.036,0.040,0.037
31/12/10,LDO,NOX,,0.069,0.055,0.058,0.056,0.062,0.067,0.167,0.279,0.153,0.072,0.057,0.043,0.040,0.049,0.043,0.045,0.046,0.057,0.063,0.120,0.154,0.124,0.214,0.156
31/12/10,LDO,O3,,0.008,0.011,0.008,0.014,0.009,0.008,0.008,0.008,0.009,0.018,0.032,0.058,0.068,0.069,0.064,0.062,0.054,0.039,0.028,0.009,0.009,0.009,0.012,0.011
31/12/10,LDO,PM10,,75.2,61.2,51.5,21.2,32.8,27.0,53.6,96.5,84.1,63.5,85.7,103.5,83.0,82.3,155.0,137.4,130.0,85.8,120.8,174.4,164.6,139.9,221.6,215.6
